2738;;;
110;21698;21698,00;21,698
109;21807;21807,00;21,807
109;21916;21916,00;21,916
110;22026;22026,00;22,026
109;22135;22135,00;22,135
110;22245;22245,00;22,245
110;22355;22355,00;22,355
101;22456;22456,00;22,456
109;22565;22565,00;22,565
109;22674;22674,00;22,674
110;22784;22784,00;22,784
109;22893;22893,00;22,893
110;23003;23003,00;23,003
109;23112;23112,00;23,112
109;23221;23221,00;23,221
102;23323;23323,00;23,323
110;23433;23433,00;23,433
109;23542;23542,00;23,542
110;23652;23652,00;23,652
109;23761;23761,00;23,761
109;23870;23,87;23,87
110;23980;23,98;23,98
109;24089;24089,00;24,089
110;24199;24199,00;24,199
103;24302;24302,00;24,302
111;24413;24413,00;24,413
109;24522;24522,00;24,522
110;24632;24632,00;24,632
109;24741;24741,00;24,741
109;24850;24,85;24,85
110;24960;24,96;24,96
109;25069;25069,00;25,069
110;25179;25179,00;25,179
110;25289;25289,00;25,289
110;25399;25399,00;25,399
95;25494;25494,00;25,494
110;25604;25604,00;25,604
109;25713;25713,00;25,713
109;25822;25822,00;25,822
110;25932;25932,00;25,932
109;26041;26041,00;26,041
110;26151;26151,00;26,151
109;26260;26,26;26,26
104;26364;26364,00;26,364
109;26473;26473,00;26,473
109;26582;26582,00;26,582
110;26692;26692,00;26,692
109;26801;26801,00;26,801
110;26911;26911,00;26,911
109;27020;27,02;27,02
109;27129;27129,00;27,129
110;27239;27239,00;27,239
107;27346;27346,00;27,346
109;27455;27455,00;27,455
110;27565;27565,00;27,565
109;27674;27674,00;27,674
100;27774;27774,00;27,774
109;27883;27883,00;27,883
110;27993;27993,00;27,993
109;28102;28102,00;28,102
110;28212;28212,00;28,212
104;28316;28316,00;28,316
110;28426;28426,00;28,426
109;28535;28535,00;28,535
110;28645;28645,00;28,645
109;28754;28754,00;28,754
109;28863;28863,00;28,863
110;28973;28973,00;28,973
109;29082;29082,00;29,082
109;29191;29191,00;29,191
100;29291;29291,00;29,291
105;29396;29396,00;29,396
99;29495;29495,00;29,495
109;29604;29604,00;29,604
110;29714;29714,00;29,714
109;29823;29823,00;29,823
109;29932;29932,00;29,932
110;30042;30042,00;30,042
109;30151;30151,00;30,151
109;30260;30,26;30,26
100;30360;30,36;30,36
110;30470;30,47;30,47
109;30579;30579,00;30,579
110;30689;30689,00;30,689
109;30798;30798,00;30,798
109;30907;30907,00;30,907
110;31017;31017,00;31,017
115;31132;31132,00;31,132
109;31241;31241,00;31,241
107;31348;31348,00;31,348
110;31458;31458,00;31,458
109;31567;31567,00;31,567
109;31676;31676,00;31,676
110;31786;31786,00;31,786
109;31895;31895,00;31,895
110;32005;32005,00;32,005
109;32114;32114,00;32,114
109;32223;32223,00;32,223
109;32332;32332,00;32,332
101;32433;32433,00;32,433
109;32542;32542,00;32,542
110;32652;32652,00;32,652
109;32761;32761,00;32,761
110;32871;32871,00;32,871
109;32980;32,98;32,98
110;33090;33,09;33,09
109;33199;33199,00;33,199
108;33307;33307,00;33,307
103;33410;33,41;33,41
110;33520;33,52;33,52
109;33629;33629,00;33,629
110;33739;33739,00;33,739
109;33848;33848,00;33,848
109;33957;33957,00;33,957
110;34067;34067,00;34,067
109;34176;34176,00;34,176
109;34285;34285,00;34,285
108;34393;34393,00;34,393
110;34503;34503,00;34,503
109;34612;34612,00;34,612
110;34722;34722,00;34,722
109;34831;34831,00;34,831
110;34941;34941,00;34,941
109;35050;35,05;35,05
109;35159;35159,00;35,159
104;35263;35263,00;35,263
115;35378;35378,00;35,378
110;35488;35488,00;35,488
109;35597;35597,00;35,597
115;35712;35712,00;35,712
110;35822;35822,00;35,822
109;35931;35931,00;35,931
109;36040;36,04;36,04
110;36150;36,15;36,15
109;36259;36259,00;36,259
104;36363;36363,00;36,363
102;36465;36465,00;36,465
109;36574;36574,00;36,574
109;36683;36683,00;36,683
110;36793;36793,00;36,793
109;36902;36902,00;36,902
110;37012;37012,00;37,012
109;37121;37121,00;37,121
109;37230;37,23;37,23
102;37332;37332,00;37,332
109;37441;37441,00;37,441
110;37551;37551,00;37,551
109;37660;37,66;37,66
109;37769;37769,00;37,769
110;37879;37879,00;37,879
109;37988;37988,00;37,988
110;38098;38098,00;38,098
109;38207;38207,00;38,207
105;38312;38312,00;38,312
99;38411;38411,00;38,411
109;38520;38,52;38,52
109;38629;38629,00;38,629
110;38739;38739,00;38,739
109;38848;38848,00;38,848
110;38958;38958,00;38,958
109;39067;39067,00;39,067
109;39176;39176,00;39,176
104;39280;39,28;39,28
109;39389;39389,00;39,389
98;39487;39487,00;39,487
110;39597;39597,00;39,597
109;39706;39706,00;39,706
110;39816;39816,00;39,816
109;39925;39925,00;39,925
109;40034;40034,00;40,034
110;40144;40144,00;40,144
109;40253;40253,00;40,253
103;40356;40356,00;40,356
109;40465;40465,00;40,465
108;40573;40573,00;40,573
109;40682;40682,00;40,682
110;40792;40792,00;40,792
109;40901;40901,00;40,901
109;41010;41,01;41,01
110;41120;41,12;41,12
109;41229;41229,00;41,229
111;41340;41,34;41,34
110;41450;41,45;41,45
109;41559;41559,00;41,559
109;41668;41668,00;41,668
110;41778;41778,00;41,778
109;41887;41887,00;41,887
109;41996;41996,00;41,996
110;42106;42106,00;42,106
109;42215;42215,00;42,215
111;42326;42326,00;42,326
110;42436;42436,00;42,436
109;42545;42545,00;42,545
109;42654;42654,00;42,654
109;42763;42763,00;42,763
110;42873;42873,00;42,873
109;42982;42982,00;42,982
110;43092;43092,00;43,092
109;43201;43201,00;43,201
103;43304;43304,00;43,304
100;43404;43404,00;43,404
110;43514;43514,00;43,514
109;43623;43623,00;43,623
110;43733;43733,00;43,733
109;43842;43842,00;43,842
110;43952;43952,00;43,952
109;44061;44061,00;44,061
109;44170;44,17;44,17
110;44280;44,28;44,28
99;44379;44379,00;44,379
110;44489;44489,00;44,489
109;44598;44598,00;44,598
110;44708;44708,00;44,708
109;44817;44817,00;44,817
109;44926;44926,00;44,926
109;45035;45035,00;45,035
110;45145;45145,00;45,145
109;45254;45254,00;45,254
105;45359;45359,00;45,359
103;45462;45462,00;45,462
109;45571;45571,00;45,571
115;45686;45686,00;45,686
109;45795;45795,00;45,795
110;45905;45905,00;45,905
109;46014;46014,00;46,014
109;46123;46123,00;46,123
110;46233;46233,00;46,233
100;46333;46333,00;46,333
108;46441;46441,00;46,441
109;46550;46,55;46,55
110;46660;46,66;46,66
109;46769;46769,00;46,769
109;46878;46878,00;46,878
110;46988;46988,00;46,988
109;47097;47097,00;47,097
109;47206;47206,00;47,206
111;47317;47317,00;47,317
111;47428;47428,00;47,428
110;47538;47538,00;47,538
109;47647;47647,00;47,647
114;47761;47761,00;47,761
107;47868;47868,00;47,868
109;47977;47977,00;47,977
110;48087;48087,00;48,087
109;48196;48196,00;48,196
103;48299;48299,00;48,299
102;48401;48401,00;48,401
110;48511;48511,00;48,511
109;48620;48,62;48,62
110;48730;48,73;48,73
109;48839;48839,00;48,839
110;48949;48949,00;48,949
109;49058;49058,00;49,058
109;49167;49167,00;49,167
108;49275;49275,00;49,275
99;49374;49374,00;49,374
110;49484;49484,00;49,484
109;49593;49593,00;49,593
109;49702;49702,00;49,702
110;49812;49812,00;49,812
109;49921;49921,00;49,921
110;50031;50031,00;50,031
109;50140;50,14;50,14
109;50249;50249,00;50,249
111;50360;50,36;50,36
109;50469;50469,00;50,469
109;50578;50578,00;50,578
109;50687;50687,00;50,687
110;50797;50797,00;50,797
109;50906;50906,00;50,906
110;51016;51016,00;51,016
109;51125;51125,00;51,125
109;51234;51234,00;51,234
111;51345;51345,00;51,345
109;51454;51454,00;51,454
110;51564;51564,00;51,564
109;51673;51673,00;51,673
110;51783;51783,00;51,783
109;51892;51892,00;51,892
109;52001;52001,00;52,001
110;52111;52111,00;52,111
109;52220;52,22;52,22
107;52327;52327,00;52,327
110;52437;52437,00;52,437
109;52546;52546,00;52,546
109;52655;52655,00;52,655
110;52765;52765,00;52,765
109;52874;52874,00;52,874
107;52981;52981,00;52,981
109;53090;53,09;53,09
109;53199;53199,00;53,199
113;53312;53312,00;53,312
102;53414;53414,00;53,414
109;53523;53523,00;53,523
109;53632;53632,00;53,632
110;53742;53742,00;53,742
109;53851;53851,00;53,851
110;53961;53961,00;53,961
109;54070;54,07;54,07
109;54179;54179,00;54,179
108;54287;54287,00;54,287
107;54394;54394,00;54,394
109;54503;54503,00;54,503
109;54612;54612,00;54,612
110;54722;54722,00;54,722
109;54831;54831,00;54,831
110;54941;54941,00;54,941
109;55050;55,05;55,05
109;55159;55159,00;55,159
110;55269;55269,00;55,269
106;55375;55375,00;55,375
109;55484;55484,00;55,484
110;55594;55594,00;55,594
109;55703;55703,00;55,703
109;55812;55812,00;55,812
110;55922;55922,00;55,922
109;56031;56031,00;56,031
110;56141;56141,00;56,141
109;56250;56,25;56,25
111;56361;56361,00;56,361
109;56470;56,47;56,47
110;56580;56,58;56,58
109;56689;56689,00;56,689
109;56798;56798,00;56,798
110;56908;56908,00;56,908
109;57017;57017,00;57,017
110;57127;57127,00;57,127
109;57236;57236,00;57,236
108;57344;57344,00;57,344
100;57444;57444,00;57,444
109;57553;57553,00;57,553
110;57663;57663,00;57,663
109;57772;57772,00;57,772
110;57882;57882,00;57,882
111;57993;57993,00;57,993
109;58102;58102,00;58,102
110;58212;58212,00;58,212
101;58313;58313,00;58,313
110;58423;58423,00;58,423
109;58532;58532,00;58,532
109;58641;58641,00;58,641
110;58751;58751,00;58,751
115;58866;58866,00;58,866
109;58975;58975,00;58,975
110;59085;59085,00;59,085
109;59194;59194,00;59,194
107;59301;59301,00;59,301
106;59407;59407,00;59,407
110;59517;59517,00;59,517
109;59626;59626,00;59,626
109;59735;59735,00;59,735
110;59845;59845,00;59,845
109;59954;59954,00;59,954
109;60063;60063,00;60,063
110;60173;60173,00;60,173
102;60275;60275,00;60,275
101;60376;60376,00;60,376
99;60475;60475,00;60,475
109;60584;60584,00;60,584
109;60693;60693,00;60,693
110;60803;60803,00;60,803
109;60912;60912,00;60,912
110;61022;61022,00;61,022
109;61131;61131,00;61,131
109;61240;61,24;61,24
100;61340;61,34;61,34
110;61450;61,45;61,45
109;61559;61559,00;61,559
110;61669;61669,00;61,669
109;61778;61778,00;61,778
109;61887;61887,00;61,887
110;61997;61997,00;61,997
109;62106;62106,00;62,106
111;62217;62217,00;62,217
107;62324;62324,00;62,324
109;62433;62433,00;62,433
109;62542;62542,00;62,542
110;62652;62652,00;62,652
109;62761;62761,00;62,761
110;62871;62871,00;62,871
109;62980;62,98;62,98
109;63089;63089,00;63,089
110;63199;63199,00;63,199
110;63309;63309,00;63,309
109;63418;63418,00;63,418
101;63519;63519,00;63,519
109;63628;63628,00;63,628
109;63737;63737,00;63,737
110;63847;63847,00;63,847
109;63956;63956,00;63,956
109;64065;64065,00;64,065
110;64175;64175,00;64,175
113;64288;64288,00;64,288
101;64389;64389,00;64,389
109;64498;64498,00;64,498
110;64608;64608,00;64,608
109;64717;64717,00;64,717
110;64827;64827,00;64,827
109;64936;64936,00;64,936
109;65045;65045,00;65,045
110;65155;65155,00;65,155
109;65264;65264,00;65,264
103;65367;65367,00;65,367
110;65477;65477,00;65,477
109;65586;65586,00;65,586
110;65696;65696,00;65,696
109;65805;65805,00;65,805
109;65914;65914,00;65,914
110;66024;66024,00;66,024
109;66133;66133,00;66,133
110;66243;66243,00;66,243
102;66345;66345,00;66,345
109;66454;66454,00;66,454
109;66563;66563,00;66,563
