{4.537990}
{7.881167}
{11.20264}
{14.52411}
{17.96860}
{21.29008}
{24.61155}
{28.05604}
{31.37751}
{34.69899}
{38.14347}
{41.46495}
{44.90944}
{48.23091}
{51.55238}
{54.99688}
{58.31835}
{61.63982}
{65.08430}
{68.40578}
{71.72749}
{75.17288}
{78.49422}
{81.81711}
{85.26202}
{88.58611}
{91.90909}
{95.37180}
{98.70643}
{102.2271}
{101.1673}
{97.81266}
{94.35104}
{91.01972}
{87.69547}
{84.24986}
{80.92716}
{77.60490}
{74.16025}
{70.83798}
{67.51640}
{64.07192}
{60.75045}
{57.42897}
{53.98449}
{50.66301}
{47.21852}
{43.89705}
{40.57558}
{37.25410}
{33.80961}
{30.48814}
{27.16667}
{23.72218}
{20.40070}
{17.07923}
{13.63474}
{10.31327}
{6.991795}
{3.547304}
{0.102814}
{-3.095641}
{-6.540132}
{-9.861605}
{-13.18308}
{-16.62757}
{-19.94904}
{-23.39353}
{-26.71500}
{-30.03648}
{-33.48097}
{-36.80244}
{-40.12391}
{-43.56839}
{-46.88995}
{-50.21205}
{-53.65749}
{-56.97879}
{-60.42371}
{-63.50103}
{-66.57702}
{-69.89859}
{-73.34755}
{-76.66972}
{-79.99995}
{-83.47141}
{-86.79971}
{-90.15531}
{-92.92850}
{-89.71803}
{-86.23763}
{-82.78539}
{-79.43817}
{-76.11139}
{-72.66499}
{-69.33972}
{-66.01860}
{-62.57281}
{-59.24968}
{-55.92832}
{-52.48358}
{-49.16116}
{-45.83926}
{-42.51777}
{-39.07329}
{-35.75182}
{-32.43034}
{-28.98586}
{-25.66438}
{-22.21989}
{-18.89842}
{-15.45393}
{-12.13246}
{-8.810983}
{-5.366492}
{-2.045019}
{1.276453}
{4.720944}
{8.042417}
{11.36389}
{14.80838}
{18.12985}
{21.57434}
{24.89582}
{28.21729}
{31.66178}
{34.98325}
{38.30472}
{41.74920}
{45.07068}
{48.39243}
{51.83784}
{55.15984}
{58.48101}
{61.92683}
{65.25007}
{68.57097}
{72.01845}
{75.46613}
{78.78986}
{82.13448}
{85.46787}
{88.94492}
{92.38797}
{91.18851}
{87.68672}
{84.35065}
{81.00702}
{77.54653}
{74.22513}
{70.89917}
{67.45335}
{64.13197}
{60.80843}
{57.36329}
{54.04208}
{50.71975}
{47.27452}
{43.95293}
{40.63146}
{37.18698}
{33.86551}
{30.54403}
{27.09954}
{23.77807}
{20.45660}
{17.01211}
{13.69063}
{10.36916}
{6.924670}
