{-52.59114};;{47.47927};14196;;14196
{-55.91284};;{44.03463};14305;;14305
{-59.23419};;{40.71316};14415;;14415
{-62.55731};;{37.39170};14519;;14519
{-66.00312};;{33.94721};14629;;14629
{-69.32423};;{30.62574};14738;;14738
{-72.77268};;{27.30426};14848;;14848
{-76.09592};;{23.85977};14957;;14957
{-79.42261};;{20.53830};15067;;15067
{-82.89371};;{17.21683};15177;;15177
{-86.22210};;{13.77234};15286;;15286
{-89.57929};;{10.45086};15394;;15394
{-92.93649};;{7.129392};15494;;15494
{-90.40385};;{3.684902};15605;;15605
{-87.04864};;{3.634291};15701;;15701
{-83.59556};;{-2.958044};15811;;15811
{-80.24815};;{-6.402534};15.92;;15.92
{-76.91623};;{-9.724007};16029;;16029
{-73.47124};;{-13.04548};16139;;16139
{-70.14533};;{-16.48997};16248;;16248
{-66.82349};;{-19.81144};16359;;16359
{-63.37844};;{-23.13292};16468;;16468
{-60.05502};;{-26.57741};16578;;16578
{-56.61030};;{-29.89888};16687;;16687
{-53.28888};;{-33.34337};16798;;16798
{-49.96646};;{-36.66484};16907;;16907
{-46.52138};;{-39.98631};17017;;17017
{-43.19985};;{-43.43079};17128;;17128
{-39.87838};;{-46.75234};17237;;17237
{-36.43390};;{-50.07441};17344;;17344
{-33.11243};;{-53.51986};17453;;17453
{-29.79095};;{-56.84121};17563;;17563
{-26.34646};;{-60.28605};17673;;17673
{-23.02499};;{-63.60954};17777;;17777
{-19.70352};;{-66.93138};17886;;17886
{-16.25903};;{-70.37648};17995;;17995
{-12.93755};;{-73.70248};18105;;18105
{-9.616080};;{-77.02417};18214;;18214
{-6.171590};;{-80.48075};18321;;18321
{-2.850117};;{-83.82743};18426;;18426
{4.713554};;{-87.15773};18536;;18536
{3.915846};;{-90.64018};18645;;18645
{7.237319};;{-92.82176};18754;;18754
{10.55879};;{-89.47085};18864;;18864
{14.00328};;{-85.99042};18973;;18973
{17.32475};;{-82.66100};19082;;19082
{20.64623};;{-79.31416};19192;;19192
{24.09072};;{-75.86507};19299;;19299
{27.41219};;{-72.54138};19402;;19402
{30.73366};;{-69.09320};19511;;19511
{34.17815};;{-65.77221};19621;;19621
{37.49963};;{-62.44931};19.73;;19.73
{40.82109};;{-59.00321};19839;;19839
{44.26558};;{-55.68192};19949;;19949
{47.58721};;{-52.36013};20058;;20058
{50.90944};;{-48.91467};20168;;20168
{54.35475};;{-45.59283};20277;;20277
{57.67591};;{-42.27134};20387;;20387
{60.99815};;{-38.82686};20497;;20497
{64.44476};;{-35.50539};20606;;20606
{67.76593};;{-32.18391};20716;;20716
{71.21220};;{-28.73943};20825;;20825
{74.53797};;{-25.41795};20934;;20934
{77.85954};;{-22.09648};21044;;21044
{81.32231};;{-18.65199};21153;;21153
{84.66338};;{-15.33052};21263;;21263
{88.00400};;{-12.00904};21.37;;21.37
{91.52729};;{-8.564552};21479;;21479
{92.06866};;{-5.243080};21588;;21588
{88.62861};;{-1.921607};21698;;21698
{85.15541};;{1.522883};21807;;21807
{81.81909};;{4.844356};21916;;21916
{78.47625};;{8.165829};22026;;22026
{75.03054};;{11.61032};22135;;22135
{71.70534};;{14.93179};22245;;22245
{68.38133};;{18.25327};22355;;22355
{64.93737};;{21.69776};22456;;22456
{61.61398};;{25.01923};22565;;22565
{58.16835};;{28.34070};22674;;22674
{54.84721};;{31.78519};22784;;22784
{51.52510};;{35.10666};22893;;22893
{48.07973};;{38.42813};23003;;23003
{44.75803};;{41.87261};23112;;23112
{41.43655};;{45.19410};23221;;23221
{37.99208};;{48.51587};23323;;23323
{34.67060};;{51.96129};23433;;23433
{31.34913};;{55.28325};23542;;23542
{27.90464};;{58.72746};23652;;23652
{24.58317};;{62.05032};23761;;23761
{21.13868};;{65.37350};23.87;;23.87
{17.81720};;{68.81743};23.98;;23.98
